algorithm,n,type,domain,sample,time_ms,memory_kb
Naive,16,dispersa,D0,a,0.009325,0
Strassen,16,dispersa,D0,a,0.006221,0
Naive,16,dispersa,D0,b,0.007861,0
Strassen,16,dispersa,D0,b,0.007653,0
Naive,16,dispersa,D0,c,0.009565,0
Strassen,16,dispersa,D0,c,0.00728,0
Naive,16,dispersa,D10,a,0.00781,0
Strassen,16,dispersa,D10,a,0.008256,0
Naive,16,dispersa,D10,b,0.009399,0
Strassen,16,dispersa,D10,b,0.008703,0
Naive,16,dispersa,D10,c,0.008609,0
Strassen,16,dispersa,D10,c,0.007165,0
Naive,16,diagonal,D0,a,0.013978,0
Strassen,16,diagonal,D0,a,0.006585,0
Naive,16,diagonal,D0,b,0.009368,0
Strassen,16,diagonal,D0,b,0.006491,0
Naive,16,diagonal,D0,c,0.009731,0
Strassen,16,diagonal,D0,c,0.007103,0
Naive,16,diagonal,D10,a,0.007903,0
Strassen,16,diagonal,D10,a,0.005846,0
Naive,16,diagonal,D10,b,0.007304,0
Strassen,16,diagonal,D10,b,0.006392,0
Naive,16,diagonal,D10,c,0.008527,0
Strassen,16,diagonal,D10,c,0.004709,0
Naive,16,densa,D0,a,0.010961,0
Strassen,16,densa,D0,a,0.007504,0
Naive,16,densa,D0,b,0.006552,0
Strassen,16,densa,D0,b,0.006132,0
Naive,16,densa,D0,c,0.01066,0
Strassen,16,densa,D0,c,0.007765,0
Naive,16,densa,D10,a,0.012694,0
Strassen,16,densa,D10,a,0.005701,0
Naive,16,densa,D10,b,0.006593,0
Strassen,16,densa,D10,b,0.00534,0
Naive,16,densa,D10,c,0.008326,0
Strassen,16,densa,D10,c,0.007985,0
Naive,64,dispersa,D0,a,0.328968,128
Strassen,64,dispersa,D0,a,2.93987,0
Naive,64,dispersa,D0,b,0.236342,0
Strassen,64,dispersa,D0,b,0.311314,0
Naive,64,dispersa,D0,c,0.122604,0
Strassen,64,dispersa,D0,c,0.302939,0
Naive,64,dispersa,D10,a,0.120279,0
Strassen,64,dispersa,D10,a,0.521376,0
Naive,64,dispersa,D10,b,0.12547,0
Strassen,64,dispersa,D10,b,0.403371,0
Naive,64,dispersa,D10,c,0.131812,0
Strassen,64,dispersa,D10,c,1.08071,0
Naive,64,diagonal,D0,a,0.172128,0
Strassen,64,diagonal,D0,a,0.44462,0
Naive,64,diagonal,D0,b,0.125559,0
Strassen,64,diagonal,D0,b,0.307077,0
Naive,64,diagonal,D0,c,0.15193,0
Strassen,64,diagonal,D0,c,0.419511,0
Naive,64,diagonal,D10,a,0.156018,0
Strassen,64,diagonal,D10,a,0.289282,0
Naive,64,diagonal,D10,b,0.123246,0
Strassen,64,diagonal,D10,b,0.290034,0
Naive,64,diagonal,D10,c,0.121772,0
Strassen,64,diagonal,D10,c,0.320632,0
Naive,64,densa,D0,a,0.227885,0
Strassen,64,densa,D0,a,0.480568,0
Naive,64,densa,D0,b,0.16221,0
Strassen,64,densa,D0,b,0.361029,0
Naive,64,densa,D0,c,0.176568,0
Strassen,64,densa,D0,c,0.289082,0
Naive,64,densa,D10,a,0.13076,0
Strassen,64,densa,D10,a,0.46073,0
Naive,64,densa,D10,b,0.140268,0
Strassen,64,densa,D10,b,0.307457,0
Naive,64,densa,D10,c,0.132523,0
Strassen,64,densa,D10,c,0.582242,0
Naive,256,dispersa,D0,a,17.1775,256
Strassen,256,dispersa,D0,a,54.6213,1280
Naive,256,dispersa,D0,b,10.0492,0
Strassen,256,dispersa,D0,b,25.7136,0
Naive,256,dispersa,D0,c,7.58749,0
Strassen,256,dispersa,D0,c,19.6251,0
Naive,256,dispersa,D10,a,11.4083,0
Strassen,256,dispersa,D10,a,31.4388,0
Naive,256,dispersa,D10,b,11.7288,0
Strassen,256,dispersa,D10,b,24.106,0
Naive,256,dispersa,D10,c,7.83122,0
Strassen,256,dispersa,D10,c,27.2326,0
Naive,256,diagonal,D0,a,11.6567,0
Strassen,256,diagonal,D0,a,36.6934,0
Naive,256,diagonal,D0,b,9.48944,0
Strassen,256,diagonal,D0,b,27.8696,0
Naive,256,diagonal,D0,c,9.61041,0
Strassen,256,diagonal,D0,c,42.0908,0
Naive,256,diagonal,D10,a,8.38354,0
Strassen,256,diagonal,D10,a,31.425,0
Naive,256,diagonal,D10,b,7.81656,0
Strassen,256,diagonal,D10,b,31.1349,0
Naive,256,diagonal,D10,c,7.95951,0
Strassen,256,diagonal,D10,c,22.94,0
Naive,256,densa,D0,a,7.70789,0
Strassen,256,densa,D0,a,21.3403,0
Naive,256,densa,D0,b,7.74921,0
Strassen,256,densa,D0,b,27.5873,0
Naive,256,densa,D0,c,9.51886,0
Strassen,256,densa,D0,c,30.8085,0
Naive,256,densa,D10,a,7.19688,0
Strassen,256,densa,D10,a,23.933,0
Naive,256,densa,D10,b,7.88229,0
Strassen,256,densa,D10,b,30.3075,0
Naive,256,densa,D10,c,7.83089,0
Strassen,256,densa,D10,c,28.0693,0
Naive,1024,dispersa,D0,a,863.574,4096
Strassen,1024,dispersa,D0,a,913.395,20168
Naive,1024,dispersa,D0,b,648.74,0
Strassen,1024,dispersa,D0,b,963.887,0
Naive,1024,dispersa,D0,c,629.908,0
Strassen,1024,dispersa,D0,c,1032.19,0
Naive,1024,dispersa,D10,a,619.718,0
Strassen,1024,dispersa,D10,a,843.022,0
Naive,1024,dispersa,D10,b,582.341,0
Strassen,1024,dispersa,D10,b,856.213,0
Naive,1024,dispersa,D10,c,604.163,0
Strassen,1024,dispersa,D10,c,861.54,0
Naive,1024,diagonal,D0,a,816.856,0
Strassen,1024,diagonal,D0,a,987.513,0
Naive,1024,diagonal,D0,b,681.602,0
Strassen,1024,diagonal,D0,b,1004.22,84
Naive,1024,diagonal,D0,c,652.386,0
Strassen,1024,diagonal,D0,c,963.001,0
Naive,1024,diagonal,D10,a,819.056,0
Strassen,1024,diagonal,D10,a,1025.25,0
Naive,1024,diagonal,D10,b,656.396,0
Strassen,1024,diagonal,D10,b,989.468,0
Naive,1024,diagonal,D10,c,688.435,0
Strassen,1024,diagonal,D10,c,948.847,0
Naive,1024,densa,D0,a,783.018,0
Strassen,1024,densa,D0,a,998.304,0
Naive,1024,densa,D0,b,634.029,0
Strassen,1024,densa,D0,b,948.765,0
Naive,1024,densa,D0,c,641.537,0
Strassen,1024,densa,D0,c,1083.81,0
Naive,1024,densa,D10,a,667.639,0
Strassen,1024,densa,D10,a,880.95,0
Naive,1024,densa,D10,b,635.278,0
Strassen,1024,densa,D10,b,981.16,0
Naive,1024,densa,D10,c,647.6,0
Strassen,1024,densa,D10,c,884.955,0
