algorithm,n,type,domain,sample,time_ms,memory_kb
MergeSort,10,ascendente,D1,a,0.002049,0
QuickSort,10,ascendente,D1,a,0.000473,0
PatienceSort,10,ascendente,D1,a,0.00399,0
StdSort,10,ascendente,D1,a,0.000727,0
MergeSort,10,ascendente,D1,b,0.00259,0
QuickSort,10,ascendente,D1,b,0.000463,0
PatienceSort,10,ascendente,D1,b,0.003692,0
StdSort,10,ascendente,D1,b,0.000882,0
MergeSort,10,ascendente,D1,c,0.00227,0
QuickSort,10,ascendente,D1,c,0.000441,0
PatienceSort,10,ascendente,D1,c,0.002656,0
StdSort,10,ascendente,D1,c,0.000705,0
MergeSort,10,ascendente,D7,a,0.002392,0
QuickSort,10,ascendente,D7,a,0.000441,0
PatienceSort,10,ascendente,D7,a,0.003901,0
StdSort,10,ascendente,D7,a,0.000804,0
MergeSort,10,ascendente,D7,b,0.00226,0
QuickSort,10,ascendente,D7,b,0.000441,0
PatienceSort,10,ascendente,D7,b,0.003604,0
StdSort,10,ascendente,D7,b,0.000816,0
MergeSort,10,ascendente,D7,c,0.002016,0
QuickSort,10,ascendente,D7,c,0.00043,0
PatienceSort,10,ascendente,D7,c,0.005577,0
StdSort,10,ascendente,D7,c,0.000827,0
MergeSort,10,descendente,D1,a,0.002402,0
QuickSort,10,descendente,D1,a,0.000629,0
PatienceSort,10,descendente,D1,a,0.001708,0
StdSort,10,descendente,D1,a,0.001036,0
MergeSort,10,descendente,D1,b,0.002028,0
QuickSort,10,descendente,D1,b,0.000639,0
PatienceSort,10,descendente,D1,b,0.001333,0
StdSort,10,descendente,D1,b,0.000915,0
MergeSort,10,descendente,D1,c,0.002083,0
QuickSort,10,descendente,D1,c,0.000639,0
PatienceSort,10,descendente,D1,c,0.001488,0
StdSort,10,descendente,D1,c,0.001047,0
MergeSort,10,descendente,D7,a,0.002446,0
QuickSort,10,descendente,D7,a,0.001014,0
PatienceSort,10,descendente,D7,a,0.001454,0
StdSort,10,descendente,D7,a,0.000948,0
MergeSort,10,descendente,D7,b,0.003053,0
QuickSort,10,descendente,D7,b,0.00076,0
PatienceSort,10,descendente,D7,b,0.001344,0
StdSort,10,descendente,D7,b,0.000848,0
MergeSort,10,descendente,D7,c,0.002336,0
QuickSort,10,descendente,D7,c,0.00065,0
PatienceSort,10,descendente,D7,c,0.001631,0
StdSort,10,descendente,D7,c,0.000948,0
MergeSort,10,aleatorio,D1,a,0.002711,0
QuickSort,10,aleatorio,D1,a,0.000662,0
PatienceSort,10,aleatorio,D1,a,0.002017,0
StdSort,10,aleatorio,D1,a,0.001311,0
MergeSort,10,aleatorio,D1,b,0.002392,0
QuickSort,10,aleatorio,D1,b,0.000629,0
PatienceSort,10,aleatorio,D1,b,0.002932,0
StdSort,10,aleatorio,D1,b,0.001069,0
MergeSort,10,aleatorio,D1,c,0.002667,0
QuickSort,10,aleatorio,D1,c,0.000639,0
PatienceSort,10,aleatorio,D1,c,0.004452,0
StdSort,10,aleatorio,D1,c,0.001168,0
MergeSort,10,aleatorio,D7,a,0.003053,0
QuickSort,10,aleatorio,D7,a,0.000562,0
PatienceSort,10,aleatorio,D7,a,0.002491,0
StdSort,10,aleatorio,D7,a,0.001311,0
MergeSort,10,aleatorio,D7,b,0.002303,0
QuickSort,10,aleatorio,D7,b,0.000595,0
PatienceSort,10,aleatorio,D7,b,0.004695,0
StdSort,10,aleatorio,D7,b,0.000992,0
MergeSort,10,aleatorio,D7,c,0.003659,0
QuickSort,10,aleatorio,D7,c,0.000607,0
PatienceSort,10,aleatorio,D7,c,0.002578,0
StdSort,10,aleatorio,D7,c,0.001047,0
MergeSort,1000,ascendente,D1,a,0.052494,0
QuickSort,1000,ascendente,D1,a,0.046609,0
PatienceSort,1000,ascendente,D1,a,0.04091,0
StdSort,1000,ascendente,D1,a,0.010415,0
MergeSort,1000,ascendente,D1,b,0.072386,0
QuickSort,1000,ascendente,D1,b,0.062611,0
PatienceSort,1000,ascendente,D1,b,0.031057,0
StdSort,1000,ascendente,D1,b,0.011363,0
MergeSort,1000,ascendente,D1,c,0.069951,0
QuickSort,1000,ascendente,D1,c,0.048845,0
PatienceSort,1000,ascendente,D1,c,0.028224,0
StdSort,1000,ascendente,D1,c,0.009037,0
MergeSort,1000,ascendente,D7,a,0.051381,0
QuickSort,1000,ascendente,D7,a,0.480364,0
PatienceSort,1000,ascendente,D7,a,0.209863,0
StdSort,1000,ascendente,D7,a,0.00864,0
MergeSort,1000,ascendente,D7,b,0.052515,0
QuickSort,1000,ascendente,D7,b,0.376986,0
PatienceSort,1000,ascendente,D7,b,0.535623,0
StdSort,1000,ascendente,D7,b,0.012046,0
MergeSort,1000,ascendente,D7,c,0.052251,0
QuickSort,1000,ascendente,D7,c,0.409752,0
PatienceSort,1000,ascendente,D7,c,0.108954,0
StdSort,1000,ascendente,D7,c,0.012233,0
MergeSort,1000,descendente,D1,a,0.055546,0
QuickSort,1000,descendente,D1,a,0.050653,0
PatienceSort,1000,descendente,D1,a,0.021579,0
StdSort,1000,descendente,D1,a,0.009688,0
MergeSort,1000,descendente,D1,b,0.0571,0
QuickSort,1000,descendente,D1,b,0.050929,0
PatienceSort,1000,descendente,D1,b,0.021029,0
StdSort,1000,descendente,D1,b,0.009093,0
MergeSort,1000,descendente,D1,c,0.056847,0
QuickSort,1000,descendente,D1,c,0.06184,0
PatienceSort,1000,descendente,D1,c,0.046233,0
StdSort,1000,descendente,D1,c,0.012024,0
MergeSort,1000,descendente,D7,a,0.07555,0
QuickSort,1000,descendente,D7,a,0.338203,0
PatienceSort,1000,descendente,D7,a,0.02191,0
StdSort,1000,descendente,D7,a,0.009147,0
MergeSort,1000,descendente,D7,b,0.067746,0
QuickSort,1000,descendente,D7,b,0.448215,0
PatienceSort,1000,descendente,D7,b,0.022593,0
StdSort,1000,descendente,D7,b,0.009412,0
MergeSort,1000,descendente,D7,c,0.069884,0
QuickSort,1000,descendente,D7,c,0.324306,0
PatienceSort,1000,descendente,D7,c,0.020223,0
StdSort,1000,descendente,D7,c,0.007362,0
MergeSort,1000,aleatorio,D1,a,0.079076,0
QuickSort,1000,aleatorio,D1,a,0.056009,0
PatienceSort,1000,aleatorio,D1,a,0.059415,0
StdSort,1000,aleatorio,D1,a,0.02407,0
MergeSort,1000,aleatorio,D1,b,0.09898,0
QuickSort,1000,aleatorio,D1,b,0.077555,0
PatienceSort,1000,aleatorio,D1,b,0.053056,0
StdSort,1000,aleatorio,D1,b,0.024313,0
MergeSort,1000,aleatorio,D1,c,0.080939,0
QuickSort,1000,aleatorio,D1,c,0.055822,0
PatienceSort,1000,aleatorio,D1,c,0.048901,0
StdSort,1000,aleatorio,D1,c,0.024896,0
MergeSort,1000,aleatorio,D7,a,0.094185,0
QuickSort,1000,aleatorio,D7,a,0.048614,0
PatienceSort,1000,aleatorio,D7,a,0.105847,0
StdSort,1000,aleatorio,D7,a,0.041836,0
MergeSort,1000,aleatorio,D7,b,0.092345,0
QuickSort,1000,aleatorio,D7,b,0.048162,0
